lon,lat,date,month,sst_c,presence
-80.37,25.03,2006-12-07,,25.341187,1
-80.49,29.03,2004-11-23,,25.428497,1
-79.45,31.8,2003-08-01,,28.485992,1
-80.59685,29.0488,2004-11-23,,25.23175,1
-80.37,25.03,2006-12-07,,25.341187,1
-83.319583,27.7807,2003-10-18,,27.169891,1
-84.23,27.65,2003-05-15,,26.466553,1
-80.69,24.79,2007-02-23,,23.616943,1
-80.6,29.05,2004-11-23,,25.23175,1
-86.74,30.24,2003-07-03,,28.588165,1
-80.49,29.03,2004-11-23,,25.428497,1
-80.09,31.12,2003-08-06,,27.805481,1
-80.47,24.93,2007-04-28,,24.893982,1
-80.35,25.0,2007-06-04,,28.082764,1
-80.46,24.87,2007-02-20,,24.06845,1
-88.99,29.44,2003-07-30,,29.040283,1
-88.97,28.95,2003-08-18,,29.812042,1
-81.768,24.8295,2005-02-16,,21.724823,1
-79.97,28.33,2003-01-31,,23.421143,1
-80.6,29.05,2004-11-23,,25.23175,1
-89.21,28.94,2004-07-28,,30.386414,1
-80.27,29.85,2004-01-01,,23.546204,1
-80.08,25.71,2003-01-28,,23.34076,1
-80.6,29.05,2004-11-23,,25.23175,1
-82.17,25.74,2003-01-21,,19.342072,1
-80.49,24.83,2004-07-14,,29.786774,1
-80.26,25.12,2006-04-15,,25.800293,1
-84.035833,27.719833,2003-05-14,,26.540497,1
-80.11,30.71,2003-08-05,,28.622406,1
-80.458033,24.943533,2006-05-24,,27.007599,1
-88.99,28.95,2003-09-02,,28.73413,1
-80.34,25.07,2007-05-30,,26.838318,1
-80.35,25.0,2007-06-04,,28.082764,1
-79.99,27.1,2004-01-21,,24.531708,1
-88.98,29.28,2003-07-30,,29.115082,1
-80.09,28.86,2003-04-02,,24.203339,1
-80.4,24.95,2006-04-12,,25.867523,1
-87.39,29.6,2003-07-11,,28.739014,1
-81.768,24.8295,2005-02-16,,21.724823,1
-81.768,24.8295,2005-02-16,,21.724823,1
-82.24,24.4,2004-06-30,,28.882812,1
-79.69,32.52,2003-08-02,,27.378021,1
-82.9918,27.777867,2003-10-19,,26.512817,1
-82.25,24.73,2003-01-22,,21.07434,1
-82.56,26.17,2005-08-16,,30.976776,1
-83.51,24.84,2004-01-13,,23.899628,1
-96.678667,27.536667,2005-10-21,,28.206024,1
-80.6,24.84,2007-04-27,,24.837738,1
-80.49,31.35,2003-07-04,,26.996521,1
-80.23,29.39,2003-12-31,,24.580383,1
-80.064667,27.4195,2004-04-17,,24.104584,1
-80.69,24.79,2007-02-23,,23.616943,1
-80.47,24.93,2007-04-28,,24.893982,1
-80.064667,27.4195,2004-04-17,,24.104584,1
-82.16,24.43,2004-01-26,,24.446533,1
-82.490833,24.353667,2004-02-13,,23.583954,1
-82.55,24.31,2003-02-16,,22.328247,1
-88.99,29.44,2003-07-30,,29.040283,1
-79.99,26.57,2003-01-21,,23.988495,1
-80.68,24.79,2007-11-14,,26.54544,1
-80.52,29.4,2004-07-03,,28.205109,1
-80.36,24.93,2007-06-04,,28.085999,1
-85.01727,29.68342,2020-08-19,,29.95343,1
-89.09,28.91,2003-08-18,,29.778198,1
-81.89,25.87,2004-04-27,,22.589355,1
-74.93,35.67,2004-09-23,,24.208557,1
-80.02,27.22,2003-02-03,,22.855377,1
-84.47,27.95,2004-07-29,,29.976318,1
-82.32,25.0,2004-01-14,,21.088654,1
-80.26,25.12,2006-04-15,,25.800293,1
-80.255,25.112167,2006-04-15,,25.829895,1
-80.36,25.05,2007-04-24,,24.90036,1
-80.51,31.82,2003-07-22,,26.77295,1
-80.255,25.112167,2006-04-15,,25.829895,1
-79.48,31.95,2003-07-20,,27.930847,1
-76.28,34.27,2003-03-12,,22.023804,1
-82.32,25.0,2004-01-14,,21.088654,1
-80.01,26.42,2003-02-05,,23.910065,1
-89.58,28.76,2004-07-23,,30.389618,1
-84.54,28.97,2003-07-07,,29.364807,1
-79.69,32.52,2003-08-02,,27.378021,1
-79.45,31.8,2003-08-01,,28.485992,1
-81.94,24.43,2003-02-17,,22.400787,1
-82.86,25.18,2005-02-02,,21.945892,1
-80.52,29.4,2004-07-03,,28.205109,1
-83.51,24.84,2004-01-13,,23.899628,1
-84.86,28.24,2004-07-29,,29.985474,1
-80.26,25.12,2006-04-15,,25.800293,1
-80.064667,27.4195,2004-04-17,,24.104584,1
-81.51,25.37,2005-03-31,,22.251709,1
-89.63,29.07,2005-01-21,,19.652832,1
-80.11,28.78,2004-01-09,,23.69632,1
-79.99,27.1,2004-01-21,,24.531708,1
-80.69,24.79,2007-02-23,,23.616943,1
-84.05,28.8,2003-07-10,,29.314087,1
-84.05,28.8,2003-07-10,,29.314087,1
-80.01,26.95,2003-02-26,,23.43686,1
-82.59624,27.5442,2020-10-13,,27.274445,1
-89.63,29.07,2005-01-21,,19.652832,1
-80.4,24.95,2006-04-12,,25.867523,1
-89.18,28.85,2003-08-17,,29.792572,1
-83.02,24.94,2003-02-03,,20.697662,1
-83.75,28.11,2004-07-02,,30.025543,1
-79.99,27.1,2004-01-21,,24.531708,1
-83.51,24.84,2004-01-13,,23.899628,1
-83.51,24.84,2004-01-13,,23.899628,1
-79.17,32.07,2003-07-24,,28.29538,1
-84.225167,27.654,2003-05-15,,26.466553,1
-80.37,25.0,2006-05-22,,26.985565,1
-80.48,24.92,2007-02-19,,23.812164,1
-81.79,24.49,2004-01-29,,23.925568,1
-82.07,26.22,2005-08-17,,31.19104,1
-82.32,25.0,2004-01-14,,21.088654,1
-80.49,29.03,2004-11-23,,25.428497,1
-83.13,28.27,2004-08-01,,30.052948,1
-84.05,28.8,2003-07-10,,29.314087,1
-89.09,28.9,2004-08-09,,29.584686,1
-80.04,27.37,2003-02-11,,22.625824,1
-79.95,27.0,2004-01-24,,24.807373,1
-80.11,28.78,2004-01-09,,23.69632,1
-96.3235,28.233833,2005-10-21,,27.38623,1
-79.84,31.43,2005-01-05,,21.495667,1
-88.99,28.95,2003-09-02,,28.73413,1
-80.68,24.79,2007-11-14,,26.54544,1
-82.86,25.18,2005-02-02,,21.945892,1
-80.59685,29.0488,2004-11-23,,25.23175,1
-80.4,24.96,2007-02-22,,23.875977,1
-83.3,27.84,2003-10-18,,27.111298,1
-80.69,24.74,2007-04-27,,24.881927,1
-80.6,24.84,2007-04-27,,24.837738,1
-79.99,26.99,2004-01-22,,24.579224,1
-80.46,24.94,2006-05-23,,27.007599,1
-75.24,35.39,2003-12-31,,19.112366,1
-83.016667,27.736667,2004-10-26,,26.75473,1
-83.45,25.53,2004-08-01,,29.973083,1
-75.17,35.15,2003-01-28,,19.090271,1
-88.89,29.05,2003-08-28,,29.760468,1
-88.93,28.97,2003-07-25,,28.941162,1
-80.064667,27.4195,2004-04-17,,24.104584,1
-82.55,24.31,2003-02-16,,22.328247,1
-80.6,29.05,2004-11-23,,25.23175,1
-89.09,28.91,2003-08-18,,29.778198,1
-80.69,24.78,2007-06-03,,28.089233,1
-80.064667,27.4195,2004-04-17,,24.104584,1
-81.51,25.37,2005-03-31,,22.251709,1
-80.28,25.08,2007-02-21,,23.841278,1
-89.0,28.93,2004-08-10,,29.679749,1
-80.64,25.01,2004-07-12,,30.32721,1
-80.36,24.93,2007-06-04,,28.085999,1
-89.0,28.93,2004-08-10,,29.679749,1
-80.01,26.46,2003-02-17,,23.89032,1
-80.07,28.23,2003-06-20,,27.84729,1
-80.458033,24.943533,2006-05-24,,27.007599,1
-82.16,24.43,2004-01-26,,24.446533,1
-80.73,24.76,2004-07-09,,29.980347,1
